github.com/jmespath/go-jmespath,https://github.com/jmespath/go-jmespath/blob/v0.4.0/LICENSE,Apache-2.0
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.18.3/LICENSE,Apache-2.0
github.com/klauspost/compress/internal/snapref,https://github.com/klauspost/compress/blob/v1.18.3/internal/snapref/LICENSE,BSD-3-Clause
github.com/klauspost/compress/zstd/internal/xxhash,https://github.com/klauspost/compress/blob/v1.18.3/zstd/internal/xxhash/LICENSE.txt,MIT
github.com/klauspost/cpuid/v2,https://github.com/klauspost/cpuid/blob/v2.3.0/LICENSE,MIT
github.com/koron/go-ssdp,https://github.com/koron/go-ssdp/blob/v0.0.4/LICENSE,MIT
github.com/kr/fs,https://github.com/kr/fs/blob/v0.1.0/LICENSE,BSD-3-Clause
github.com/libdns/libdns,https://github.com/libdns/libdns/blob/v0.2.2/LICENSE,MIT
github.com/libdns/route53,https://github.com/libdns/route53/blob/v1.5.0/LICENSE,MIT
github.com/libp2p/go-nat,https://github.com/libp2p/go-nat/blob/v0.2.0/LICENSE,Apache-2.0
github.com/libp2p/go-netroute,https://github.com/libp2p/go-netroute/blob/v0.4.0/LICENSE,BSD-3-Clause
github.com/mdlayher/genetlink,https://github.com/mdlayher/genetlink/blob/v1.3.2/LICENSE.md,MIT
github.com/mdlayher/netlink,https://github.com/mdlayher/netlink/blob/fbb4dce95f42/LICENSE.md,MIT
github.com/mdlayher/socket,https://github.com/mdlayher/socket/blob/v0.5.1/LICENSE.md,MIT
github.com/mholt/acmez/v2,https://github.com/mholt/acmez/blob/v2.0.1/LICENSE,Apache-2.0
github.com/miekg/dns,https://github.com/miekg/dns/blob/v1.1.72/LICENSE,BSD-3-Clause
github.com/mitchellh/hashstructure/v2,https://github.com/mitchellh/hashstructure/blob/v2.0.2/LICENSE,MIT
github.com/netbirdio/netbird,https://github.com/netbirdio/netbird/blob/HEAD/LICENSE,BSD-3-Clause
github.com/oapi-codegen/runtime,https://github.com/oapi-codegen/runtime/blob/v1.1.2/LICENSE,Apache-2.0
github.com/pion/dtls/v2,https://github.com/pion/dtls/blob/v2.2.10/LICENSE,MIT
github.com/pion/dtls/v3,https://github.com/pion/dtls/blob/v3.0.9/LICENSE,MIT
github.com/pion/ice/v4,https://github.com/netbirdio/ice/blob/6202be846b51/LICENSE,MIT
github.com/pion/logging,https://github.com/pion/logging/blob/v0.2.4/LICENSE,MIT
github.com/pion/mdns/v2,https://github.com/pion/mdns/blob/v2.0.7/LICENSE,MIT
github.com/pion/randutil,https://github.com/pion/randutil/blob/v0.1.0/LICENSE,MIT
github.com/pion/stun/v2,https://github.com/pion/stun/blob/v2.0.0/LICENSE,MIT
github.com/pion/stun/v3,https://github.com/pion/stun/blob/v3.1.0/LICENSE,MIT
github.com/pion/transport/v2,https://github.com/pion/transport/blob/v2.2.4/LICENSE,MIT
github.com/pion/transport/v3,https://github.com/pion/transport/blob/v3.1.1/LICENSE,MIT
github.com/pion/turn/v3,https://github.com/pion/turn/blob/v3.0.1/LICENSE,MIT
github.com/pion/turn/v4,https://github.com/pion/turn/blob/v4.1.1/LICENSE,MIT
github.com/pkg/sftp,https://github.com/pkg/sftp/blob/v1.13.9/LICENSE,BSD-2-Clause
github.com/quic-go/quic-go,https://github.com/quic-go/quic-go/blob/v0.59.1/LICENSE,MIT
github.com/rs/xid,https://github.com/rs/xid/blob/v1.3.0/LICENSE,MIT
github.com/sirupsen/logrus,https://github.com/sirupsen/logrus/blob/v1.9.4/LICENSE,MIT
github.com/skratchdot/open-golang/open,https://github.com/skratchdot/open-golang/blob/eef842397966/LICENSE,MIT
github.com/things-go/go-socks5,https://github.com/things-go/go-socks5/blob/v0.0.4/LICENSE,MIT
github.com/vishvananda/netlink,https://github.com/vishvananda/netlink/blob/v1.3.1/LICENSE,Apache-2.0
github.com/vishvananda/netns,https://github.com/vishvananda/netns/blob/v0.0.5/LICENSE,Apache-2.0
github.com/wlynxg/anet,https://github.com/wlynxg/anet/blob/v0.0.5/LICENSE,BSD-3-Clause
github.com/zeebo/blake3,https://github.com/zeebo/blake3/blob/v0.2.3/LICENSE,CC0-1.0
go.uber.org/multierr,https://github.com/uber-go/multierr/blob/v1.11.0/LICENSE.txt,MIT
go.uber.org/zap,https://github.com/uber-go/zap/blob/v1.27.0/LICENSE,MIT
golang.org/x/crypto,https://cs.opensource.google/go/x/crypto/+/v0.55.0:LICENSE,BSD-3-Clause
golang.org/x/exp,https://cs.opensource.google/go/x/exp/+/746e56fc:LICENSE,BSD-3-Clause
golang.org/x/mobile,https://cs.opensource.google/go/x/mobile/+/f98cc9b3:LICENSE,BSD-3-Clause
golang.org/x/mod/semver,https://cs.opensource.google/go/x/mod/+/v0.39.0:LICENSE,BSD-3-Clause
golang.org/x/net,https://cs.opensource.google/go/x/net/+/v0.58.0:LICENSE,BSD-3-Clause
